question,Group,document
Khi nào người mua có quyền hủy hợp đồng và yêu cầu bồi thường?,Legal,d225594c
"Nếu bên bán không cung cấp hướng dẫn sử dụng, người mua có quyền gì?",Legal,d225594c
Lợi ích của việc bên bán cung cấp thông tin và hướng dẫn?,Legal,d225594c
Điều kiện để bên mua được bồi thường về thiệt hại?,Legal,d225594c
Người mua có thể hủy hợp đồng nếu như không đạt được mục đích giao kết hợp đồng cho dù có dùng hướng dẫn?,Legal,d225594c
"Quy định về thu hồi tài liệu, vật mang bí mật nhà nước ngành tài nguyên môi trường gồm những gì?",Legal,a54024aa
"Ai có trách nhiệm thu hồi tài liệu, vật mang bí mật nhà nước có dấu 'Tài liệu thu hồi' ?",Legal,a54024aa
Khen và xác nhận tài liệu thu hồi là bao gồm những quy trình nào?,Legal,a54024aa
Điều gì sẽ xảy ra nếu không trả lại tài liệu được đánh dấu 'Tài liệu thu hồi' đúng thời hạn?,Legal,a54024aa
"Các hành vi vi phạm quy định về thu hồi tài liệu, vật mang bí mật nhà nước sẽ bị xử lý như thế nào?",Legal,a54024aa
Bộ Tài chính quy định việc lựa chọn hệ thống tài khoản kế toán theo Luật Kế toán 2003 như thế nào?,Legal,372b0155
Các đơn vị kế toán cần dựa vào cơ sở nào để chọn hệ thống tài khoản kế toán?,Legal,372b0155
Luật Kế toán 2003 có quy định về việc lựa chọn hệ thống tài khoản kế toán của các đơn vị không?,Legal,372b0155
Căn cứ vào hệ thống tài khoản kế toán nào mà các đơn vị kế toán được phép lựa chọn?,Legal,372b0155
Đơn vị kế toán áp dụng hệ thống tài khoản kế toán theo Luật Kế toán 2003 theo chuẩn nào?,Legal,372b0155
Một cuộc đua chó cần bao nhiêu trọng tài tối thiểu để diễn ra?,Legal,c961b156
Số lượng trọng tài ít nhất cho một cuộc đua chó là bao nhiêu?,Legal,c961b156
Quy định về số trọng tài trong một cuộc đua chó là bao nhiêu?,Legal,c961b156
Tại sao một cuộc đua chó cần tối thiểu 6 trọng tài?,Legal,c961b156
Những vai trò của 6 trọng tài trong một cuộc đua chó là gì?,Legal,c961b156
Hành vi điều khiển xe ô tô đi ngược chiều trên đường cấm có thể bị phạt bao nhiêu tiền?,Legal,c6ba60e0
Mức phạt cụ thể nào áp dụng cho hành vi điều khiển xe ngược chiều trên đường có biển báo cấm?,Legal,c6ba60e0
Người điều khiển xe ô tô đi ngược chiều bị phạt tiền bao nhiêu?,Legal,c6ba60e0
Xe ô tô đi ngược chiều trên đường cấm có mức phạt từ bao nhiêu đến bao nhiêu tiền?,Legal,c6ba60e0
Vi phạm điều khiển xe ô tô đi ngược chiều trên đường cấm có thể bị phạt như thế nào?,Legal,c6ba60e0
"Tôi học tập ở nước ngoài trong hai năm, giấy tờ tạm trú của tôi có bị hủy không?",Legal,29aa792f
"Nếu đi du học hai năm, tôi vẫn được đăng ký tạm trú?",Legal,29aa792f
Có ảnh hưởng gì đến sổ đăng ký tạm trú khi đi du học hai năm không?,Legal,29aa792f
"Sau khi hoàn thành chương trình du học hai năm, bạn có được giữ sổ đăng ký tạm trú không?",Legal,29aa792f
Du học hai năm có được coi là đủ điều kiện để đăng ký tạm trú lâu dài không?,Legal,29aa792f
Hệ thống kết nối dự báo thông tin phòng thủ dân sự bao gồm những thành phần nào?,Legal,32691068
Làm thế nào để xây dựng một hệ thống cảnh báo hiệu quả cho phòng thủ dân sự?,Legal,32691068
Những hoạt động nào được thực hiện trong hệ thống báo động thông tin phòng thủ dân sự?,Legal,32691068
Ai sẽ chịu trách nhiệm duy trì và cập nhật hệ thống thông báo phòng thủ dân sự?,Legal,32691068
Có những văn bản nào quy định về việc thiết lập hệ thống kết nối thông tin phòng thủ dân sự?,Legal,32691068
Công việc chuẩn bị trước khi tổ chức thi tuyển phương án kiến trúc bao gồm những gì?,Legal,eec92ccb
Những hạng mục nào cần được hoàn tất trong quá trình chuẩn bị thi tuyển?,Legal,eec92ccb
Ai là những thành viên tham gia  Hội đồng thi tuyển phương án kiến trúc?,Legal,eec92ccb
Who is responsible for approving the plan and budget for the architect selection process?,Legal,eec92ccb
What information is required for the selection of architectural designs?,Legal,eec92ccb
Ai được hưởng hỗ trợ trong vận tải đường sắt?,Legal,fdee36f2
Vận tải đường sắt hỗ trợ những nhiệm vụ gì?,Legal,fdee36f2
Hỗ trợ vận tải đường sắt bao gồm những trường hợp nào?,Legal,fdee36f2
Có những ai được hưởng ưu đãi trong việc vận tải bằng đường sắt?,Legal,fdee36f2
"Ngoài mục đích an sinh xã hội, vận tải đường sắt còn được hỗ trợ mục đích gì?",Legal,fdee36f2
Hạn giờ hoạt động vũ trường là bao nhiêu?,Legal,120a9b4d
Vi phạm thời gian hoạt động vũ trường có thể bị phạt tiền bao nhiêu?,Legal,120a9b4d
Có quy định về tiền phạt cho việc hoạt động quá giờ vũ trường không?,Legal,120a9b4d
Ngành giải trí có quy định về giờ hoạt động vũ trường không?,Legal,120a9b4d
Giới hạn về hoạt động vũ trường là gì?,Legal,120a9b4d
Cơ sở dữ liệu về thi hành án hình sự được xây dựng theo tiêu chuẩn như thế nào?,Legal,22994b2a
Việc xây dựng cơ sở dữ liệu về thi hành án hình sự có đảm bảo tính an toàn thông tin không?,Legal,22994b2a
Cơ sở dữ liệu về thi hành án hình sự có tính năng tích hợp dữ liệu với các cơ sở dữ liệu khác không?,Legal,22994b2a
Cấu trúc cơ sở dữ liệu về thi hành án hình sự có tính tương thích để mở rộng trong tương lai không?,Legal,22994b2a
Cơ sở dữ liệu về thi hành án hình sự được dùng chung ở phạm vi nào?,Legal,22994b2a
Hành vi không khai báo tạm trú cho khách nước ngoài có phạt tiền bao nhiêu?,Legal,b0efbcce
Giới hạn thời gian không khai báo tạm trú mà vẫn bị phạt khoản tiền nào?,Legal,b0efbcce
Cơ quan nào có thẩm quyền cho phép xác định thời gian tạm trú?,Legal,b0efbcce
Việc không đăng ký tạm trú cho khách nước ngoài có thể bị phạt mức tiền tối đa bao nhiêu?,Legal,b0efbcce
Một hành vi không khai báo tạm trú cho người nước ngoài trên 16 ngày được coi như vi phạm gì?,Legal,b0efbcce
Thời hạn nộp hồ sơ thay đổi đăng ký giao dịch cổ phiếu trên Upcom là bao nhiêu?,Legal,ee2c4b2e
Sở giao dịch chứng khoán có thời hạn bao lâu để ra quyết định về thay đổi đăng ký giao dịch?,Legal,ee2c4b2e
"Sau khi được chấp thuận, tổ chức đăng ký giao dịch cần thực hiện những thao tác gì?",Legal,ee2c4b2e
Sở giao dịch chứng khoán phải nêu rõ lý do gì khi từ chối chấp thuận thay đổi đăng ký giao dịch?,Legal,ee2c4b2e
"Đối với cổ phiếu bị hạn chế chuyển nhượng, tổ chức đăng ký giao dịch cần làm gì trước khi tiến hành giao dịch?",Legal,ee2c4b2e
Khách hàng trả tiền dịch vụ viễn thông trả sau khi nào?,Legal,6aadf773
Những dịch vụ nào được gọi là dịch vụ viễn thông trả sau?,Legal,6aadf773
Ai cung cấp dịch vụ viễn thông trả sau?,Legal,6aadf773
Tí điểm chính của dịch vụ viễn thông trả sau là gì?,Legal,6aadf773
"Ưu, nhược điểm của dịch vụ viễn thông trả sau là gì?",Legal,6aadf773
Khi nào người đại diện của người được hưởng án treo không cần phải có mặt khi được triệu tập?,Legal,2c46c4cf
"Theo luật, trường hợp nào người đại diện của người được hưởng án treo được miễn tham dự việc triệu tập?",Legal,2c46c4cf
Người đại diện của người được hưởng án treo có quyền từ chối tham dự việc triệu tập không?,Legal,2c46c4cf
Làm thế nào để biết người đại diện của người hưởng án treo có phải có mặt khi triệu tập?,Legal,2c46c4cf
Giải thích rõ hơn về 'trường hợp bất khả kháng' trong việc triệu tập người đại diện của người hưởng án treo?,Legal,2c46c4cf
Những ai được phép gửi tiền và đồ vật cho phạm nhân?,Legal,b9bcd9e1
Giới hạn số lần gửi tiền và đồ vật cho phạm nhân trong một tháng là bao nhiêu?,Legal,b9bcd9e1
"Trại giam, trại tạm giam và cơ quan thi hành án hình sự có trách nhiệm những việc gì với tiền và đồ vật được gửi?",Legal,b9bcd9e1
Có những loại đồ vật nào bị cấm gửi vào trại giam?,Legal,b9bcd9e1
Phép gửi tiền và đồ vật cho phạm nhân được thực hiện theo hình thức nào?,Legal,b9bcd9e1
Phương thức đăng ký xe bằng điện tử là gì?,Legal,2b21388b
Cục nào chịu trách nhiệm về việc đăng ký xe qua mạng?,Legal,2b21388b
Mục đích của mã số thứ tự khi đăng ký xe online?,Legal,2b21388b
Người dùng sẽ nhận được lịch hẹn giải quyết hồ sơ qua kênh nào?,Legal,2b21388b
"Ngoài cổng dịch vụ công quốc gia, đâu là nơi đăng ký xe trực tuyến?",Legal,2b21388b
Việc ký hợp đồng trước khi có kế hoạch vốn được phê duyệt có thể bị phạt bao nhiêu tiền?,Legal,952253d5
Mức phạt tiền đối với việc ký hợp đồng trước khi có kế hoạch vốn phê duyệt là bao nhiêu?,Legal,952253d5
Có trường hợp nào ngoại lệ không bị phạt tiền khi ký hợp đồng trước khi kế hoạch vốn được phê duyệt?,Legal,952253d5
"Ngoài công trình xây dựng theo lệnh khẩn cấp, trường hợp nào được miễn phạt tiền khi ký hợp đồng trước khi có kế hoạch vốn?",Legal,952253d5
Người phát hành kế hoạch vốn có quyền phạt tiền hay không nếu có trường hợp ký hợp đồng trước khi phê duyệt?,Legal,952253d5
"Cần chuẩn bị những giấy tờ gì khi một tổ chức, doanh nghiệp muốn tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí?",Legal,a199c860
"Hồ sơ của cá nhân đại diện tổ chức, doanh nghiệp khi nộp hồ sơ tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí cần bao gồm những gì?",Legal,a199c860
"Người được cử liên hệ nộp hồ sơ tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí cần mang giấy tờ gì để xuất trình?",Legal,a199c860
"Giấy tờ nào là bắt buộc khi nộp hồ sơ tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí?",Legal,a199c860
"Bên cạnh Văn bản đề nghị, những giấy tờ nào khác còn phải được liên hệ nộp khi tham gia nghiên cứu, chế tạo, sản xuất, sửa chữa vũ khí?",Legal,a199c860
Thông tư số 338/2016/TT-BTC quy định nội dung gì?,Legal,9e83cdd1
Thông tư số 338/2016/TT-BTC của Bộ Tài chính được ban hành vào ngày nào?,Legal,9e83cdd1
"Bộ Tài chính quy định nội dung và mức chi hỗ trợ học sinh, sinh viên khởi nghiệp dựa trên thông tư nào?",Legal,9e83cdd1
"Nội dung và mức chi hỗ trợ học sinh, sinh viên khởi nghiệp bao gồm những điều gì?",Legal,9e83cdd1
"Thông tư số 338/2016/TT-BTC có liên quan đến hoạt động gì của học sinh, sinh viên?",Legal,9e83cdd1
Pháp luật công nhận di chúc miệng có hiệu lực trong trường hợp nào?,Legal,96e4be6f
Điều gì sẽ xảy ra với di chúc miệng nếu người lập di chúc phục hồi sức khỏe sau 3 tháng?,Legal,96e4be6f
Độ dài thời gian người lập di chúc cần minh mẫn để di chúc có hiệu lực?,Legal,96e4be6f
"Xác định rõ hơn về khái niệm 'minh mẫn, sáng suốt' trong di chúc miệng.",Legal,96e4be6f
Có những trường hợp ngoại lệ nào cho di chúc miệng?,Legal,96e4be6f
Đơn vị sử dụng giáo viên có trách nhiệm lập danh sách giáo viên nào để nâng trình độ?,Legal,974a6d1a
Nơi nào nhận đơn đề xuất của đơn vị sử dụng giáo viên về việc tham gia tuyển sinh đào tạo?,Legal,974a6d1a
"Theo kế hoạch đào tạo phê duyệt, đơn vị sử dụng giáo viên bố trí công việc của giáo viên như thế nào?",Legal,974a6d1a
Điều kiện thuận lợi nào được tạo ra cho giáo viên trong quá trình nâng trình độ?,Legal,974a6d1a
"Chế độ, chính sách nào được  đảm bảo cho giáo viên theo quy định?",Legal,974a6d1a
Căn cứ luật nào mà phạt tiền vi phạm việc trồng cây che khuất tầm nhìn ?,Legal,4117b41f
Người phát hiện việc trồng cây che khuất tầm nhìn nên thông báo cho cơ quan nào ?,Legal,4117b41f
Có sự khác biệt về mức phạt đối với cá nhân và tổ chức khi trồng cây che khuất tầm nhìn không ?,Legal,4117b41f
Mức phạt tiền tối đa bao nhiêu đối với cá nhân khi trồng cây che khuất tầm nhìn ?,Legal,4117b41f
"Trong trường hợp trồng cây che khuất tầm nhìn, ai sẽ là người phải chịu trách nhiệm ?",Legal,4117b41f
Việt Nam có những tổ chức nào được phép tham gia khắc phục hậu quả bom mìn?,Legal,89aad6f5
Tổ chức khắc phục hậu quả bom mìn hoạt động dựa trên cơ sở pháp luật nào?,Legal,89aad6f5
Những tổ chức nào có thể tham gia khắc phục hậu quả bom mìn sau chiến tranh?,Legal,89aad6f5
Loại tổ chức nào có thể khắc phục hậu quả bom mìn tại Việt Nam?,Legal,89aad6f5
Ngành nghề nào được tổ chức quốc tế cho phép hoạt động hậu chiến tại Việt Nam?,Legal,89aad6f5
Các yêu cầu gì phải được đáp ứng khi xuất khẩu vật liệu hạt nhân nguồn?,Legal,f0d20d1e
Việc đóng gói và dán nhãn hàng hóa xuất khẩu bao gồm những gì?,Legal,f0d20d1e
"Đối với vật liệu hạt nhân nguồn phóng xạ thuộc Nhóm 1 và Nhóm 2, có điều kiện gì khi xuất khẩu?",Legal,f0d20d1e
Vật liệu hạt nhân nguồn xuất khẩu cần chứng minh điều gì về xuất xứ?,Legal,f0d20d1e
Cơ quan nào có thẩm quyền cấp văn bản cho phép nhập khẩu vật liệu hạt nhân?,Legal,f0d20d1e
Các bước xử lý số liệu tính toán chỉ số giá xây dựng bao gồm những công việc gì?,Legal,e0bfe400
Số liệu dự toán chi phí cần được điều chỉnh như thế nào trong quá trình tính toán chỉ số giá xây dựng?,Legal,e0bfe400
"Việc kiểm tra, rà soát, hiệu chỉnh giá các yếu tố đầu vào trong tính toán chỉ số giá xây dựng bao gồm những nội dung gì?",Legal,e0bfe400
"Để các số liệu về tổng mức đầu tư và dự toán xây dựng được đưa vào tính toán chỉ số giá xây dựng, chúng cần được quy đổi về đơn vị nào?",Legal,e0bfe400
Thông tin gì cần được kiểm tra để đảm bảo giá các loại máy và thiết bị thi công được tính toán chính xác trong chỉ số giá xây dựng?,Legal,e0bfe400
Kể tôi cách thức đề nghị tái xuất thuốc cổ truyền bị thu hồi,Legal,2a6d87d5
Thời hạn Bộ Y tế xử lý hồ sơ đề nghị tái xuất thuốc cổ truyền là bao nhiêu?,Legal,2a6d87d5
Bộ Y tế sẽ có cách trả lời nào khi cơ sở đề nghị tái xuất thuốc cổ truyền bị thu hồi?,Legal,2a6d87d5
Ngành nào của Bộ Y tế có thẩm quyền xử lý đề nghị tái xuất thuốc cổ truyền?,Legal,2a6d87d5
"Nếu Bộ Y tế không đồng ý đề nghị tái xuất thuốc cổ truyền bị thu hồi, họ phải đưa ra lý do trong văn bản trả lời?",Legal,2a6d87d5
Công ty quản lý quỹ có được sử dụng tài sản của quỹ theo cách nào?,Legal,44cf0d02
Có quy định gì về việc sử dụng vốn của quỹ?,Legal,44cf0d02
Phải tuân thủ quy định nào khi khai thác lợi nhuận từ quỹ?,Legal,44cf0d02
Bất kỳ hành động nào liên quan đến tài sản của quỹ đều được phép?,Legal,44cf0d02
Có rủi ro gì khi sử dụng quỹ để đầu tư khác với mục đích định sẵn?,Legal,44cf0d02
Bạn có thể giải thích khái niệm 'điểm khoáng sản' được không?,Legal,a1aaafb8
Điều gì xác định một phát hiện được coi là 'điểm khoáng sản'?,Legal,a1aaafb8
Điểm khoáng sản có nghĩa là đã có trữ lượng khoáng sản lớn chưa?,Legal,a1aaafb8
Tại sao người ta gọi là 'điểm' khoáng sản?,Legal,a1aaafb8
Những phát hiện khoáng sản nào được coi không phù hợp với yêu cầu khai thác?,Legal,a1aaafb8
"Sơ lược về cách tạm ứng, thanh toán và kiểm soát chi phí cho Chương trình hỗ trợ phát triển doanh nghiệp khoa học công nghệ là gì?",Legal,66544281
Thông tư nào quy định về khoán chi thực hiện nhiệm vụ khoa học và công nghệ sử dụng ngân sách nhà nước?,Legal,66544281
"Thông tư nào quy định về việc tạm ứng, thanh toán, kiểm soát chi hoạt động chung quản lý Chương trình?",Legal,66544281
"Bộ Tài chính đã ban hành thông tư nào về chế độ kiểm soát, thanh toán chi ngân sách nhà nước qua Kho bạc Nhà nước?",Legal,66544281
"Có bao nhiêu Thông tư liên quan đến việc kiểm soát, thanh toán chi ngân sách nhà nước qua Kho bạc Nhà nước do Bộ Tài chính ban hành?",Legal,66544281
Tổng công ty điện lực bao gồm những loại đơn vị nào?,Legal,945a915b
"Ngoài các Công ty điện lực tỉnh, thành phố, đơn vị nào khác trực thuộc Tổng công ty điện lực?",Legal,945a915b
"Công ty điện lực quận, huyện thuộc đơn vị nào quản lý?",Legal,945a915b
Có những đơn vị nào trực thuộc Ban quản lý dự án các Tổng công ty điện lực?,Legal,945a915b
"Với Tổng công ty Điện lực thành phố Hồ Chí Minh và Hà Nội, đơn vị nào trực thuộc?",Legal,945a915b
Người phụ nữ công chứng viên đang mang thai hoặc nuôi con nhỏ dưới 12 tháng tuổi có được miễn bồi dưỡng nghiệp vụ hàng năm không?,Legal,2987b7f8
Điều kiện để công chứng viên được miễn tham gia bồi dưỡng nghiệp vụ hàng năm do bệnh lý như thế nào?,Legal,2987b7f8
Bệnh nhân nào sẽ được cho phép công chứng viên được miễn bồi dưỡng nghiệp vụ hàng năm?,Legal,2987b7f8
Thời gian điều trị tối thiểu đối với bệnh lý để công chứng viên được miễn tham gia bồi dưỡng hàng năm là bao nhiêu?,Legal,2987b7f8
Giấy chứng nhận về bệnh lý để công chứng viên được miễn bồi dưỡng nghiệp vụ hàng năm phải do cơ quan nào cấp?,Legal,2987b7f8
Trợ cấp phục viên một lần là bao nhiêu tiền?,Legal,4f13afa8
Cơ sở tính toán trợ cấp phục viên một lần là gì?,Legal,4f13afa8
Khi nào được nhận trợ cấp phục viên một lần?,Legal,4f13afa8
Thời điểm tính lương cho trợ cấp phục viên một lần là tháng nào?,Legal,4f13afa8
Công thức tính trợ cấp phục viên một lần là gì? ,Legal,4f13afa8
"WHO có trách nhiệm cung cấp thông tin, tài liệu, bằng chứng liên quan đến nội dung tố cáo?",Legal,9359f3e3
"Mục đích nào mà Tổ xác minh yêu cầu cơ quan, tổ chức, đơn vị, cá nhân cung cấp thông tin, tài liệu, bằng chứng?",Legal,9359f3e3
"Cách thức Tổ xác minh thu thập thông tin, tài liệu, bằng chứng liên quan đến nội dung tố cáo?",Legal,9359f3e3
"Tổ xác minh cần lưu ý điều gì khi thu thập thông tin, tài liệu, bằng chứng?",Legal,9359f3e3
"Thời hạn cung cấp thông tin, tài liệu, bằng chứng liên quan đến nội dung tố cáo là bao lâu?",Legal,9359f3e3
Theo tiêu chí nào mà xác định loại công ty đối với các công ty thuộc tổng công ty nhà nước?,Legal,74e1b8e6
Những chỉ tiêu kế hoạch nào được dùng để phân loại công ty thuộc tổng công ty nhà nước?,Legal,74e1b8e6
Các tiêu chí để phân loại công ty nhà nước bao gồm những yếu tố gì?,Legal,74e1b8e6
"Ngoài vốn chủ sở hữu và doanh thu, còn có những tiêu chí gì để xác định loại công ty thuộc tổng công ty nhà nước?",Legal,74e1b8e6
Tổng công ty nhà nước sử dụng những tiêu chí gì để phân loại các công ty con của mình?,Legal,74e1b8e6
Nhà cung cấp dịch vụ thu phí điện tử không dừng có trách nhiệm gì trong việc quản lý và vận hành hệ thống?,Legal,eade53c2
"Chi phí quản lý, vận hành và bảo trì hệ thống thu phí điện tử không dừng thuộc về ai?",Legal,eade53c2
Người cung cấp dịch vụ thu phí có nghĩa vụ gì với các công trình và thiết bị thu phí?,Legal,eade53c2
Phương án tài chính của dự án thu phí điện tử không dừng bao gồm những gì?,Legal,eade53c2
Nhà cung cấp dịch vụ thu phí có phải chịu trách nhiệm về chi phí vận hành hệ thống thu phí không?,Legal,eade53c2
Chức vụ trợ giúp viên pháp lý thuộc về thẩm quyền của ai?,Legal,006d5232
Ai có quyền bổ nhiệm trợ giúp viên pháp lý?,Legal,006d5232
Vị trí trợ giúp viên pháp lý được bổ nhiệm bởi ai?,Legal,006d5232
Chủ tịch Ủy ban nhân dân cấp tỉnh có trách nhiệm appointing ai?,Legal,006d5232
Người được Chủ tịch Ủy ban nhân dân cấp tỉnh bổ nhiệm là ai?,Legal,006d5232
Điều kiện nào được xem là đặc biệt để trở lại quốc tịch Việt Nam?,Legal,b5c588c0
Ai có thể trở lại quốc tịch Việt Nam nếu họ đóng góp lợi ích cho Nhà nước?,Legal,b5c588c0
Nghị định nào quy định điều kiện để trở lại quốc tịch Việt Nam?,Legal,b5c588c0
Linh vực đầu tư gì được phép để trở lại quốc tịch Việt Nam?,Legal,b5c588c0
Có thể lấy giấy tờ gì chứng minh việc đầu tư tại Việt Nam?,Legal,b5c588c0
Hành vi vượt xe tại đường cấm vượt có thể bị phạt bao nhiêu tiền?,Legal,f8cdabba
"Trường hợp vượt xe nơi cấm vượt theo luật, mức phạt cụ thể là gì?",Legal,f8cdabba
Mức phạt tài chính đối với hành vi vượt xe tại đoạn đường có biển báo cấm vượt là bao nhiêu?,Legal,f8cdabba
Xe ô tô vượt đoạn đường cấm vượt sẽ bị phạt tiền ở khoảng nào?,Legal,f8cdabba
"Với hành vi vượt xe tại đoạn đường biển báo cấm vượt, mức phạt tiền tối đa là bao nhiêu?",Legal,f8cdabba
Cục Đường thủy nội địa Việt Nam có vai trò gì trong việc lựa chọn nhà thầu và bàn giao mặt bằng?,Legal,b699e1a0
Các đơn vị thi công phải tuân theo những yêu cầu cụ thể nào trong quá trình thực hiện nạo vét luồng đường thủy?,Legal,b699e1a0
Ai có trách nhiệm tư vấn giám sát và kiểm tra quá trình khảo sát đo đạc mặt bằng?,Legal,b699e1a0
Vai trò của Ủy ban nhân dân cấp tỉnh trong dự án nạo vét luồng đường thủy nội địa là gì?,Legal,b699e1a0
Nghiệm thu kết quả khảo sát mặt bằng do ai thực hiện?,Legal,b699e1a0
Phạt bao nhiêu tiền nếu trung tâm sát hạch lái xe không đáp ứng điều kiện khi sát hạch lý thuyết?,Legal,d30cc189
Điều kiện gì để trung tâm sát hạch lái xe được xét đủ điều kiện?,Legal,d30cc189
Số tiền phạt tối thiểu và tối đa là bao nhiêu nếu trung tâm sát hạch lái xe không bảo đảm máy tính?,Legal,d30cc189
Trung tâm sát hạch lái xe bị phạt khi nào?,Legal,d30cc189
Quy định về điều kiện sát hạch lý thuyết tại trung tâm sát hạch lái xe là như thế nào?,Legal,d30cc189
Hình phạt đối với công chứng viên nhận hướng dẫn tập sự không đủ điều kiện là bao nhiêu?,Legal,4c8a5c57
Hành vi nhận hướng dẫn tập sự khi không đủ điều kiện theo quy định bị xử phạt như thế nào?,Legal,4c8a5c57
Cấp độ phạt tiền đối với công chứng viên vi phạm quy định hướng dẫn tập sự là gì?,Legal,4c8a5c57
Có quy định về xử phạt nào đối với công chứng viên nhận hướng dẫn tập sự mà không đủ điều kiện?,Legal,4c8a5c57
 mức phạt tiền đối với công chứng viên nhận hướng dẫn tập sự không đủ điều kiện theo quy định có thể lên đến bao nhiêu?,Legal,4c8a5c57
Bạn có biết mức phạt cho lỗi lái xe lạng lách không?,Legal,f92252da
Chi phí phạt khi điều khiển xe ô tô lạng lách là bao nhiêu?,Legal,f92252da
Lỗi lái xe lạng lách bị phạt bao nhiêu tiền?,Legal,f92252da
Mức phạt tối đa với hành vi lạng lách xe ô tô là bao nhiêu?,Legal,f92252da
"Hiện nay, giá trị phạt tiền cho lỗi lạng lách xe ô tô là bao nhiêu?",Legal,f92252da
Hành vi điều khiển xe máy bằng chân phạt bao nhiêu tiền?,Legal,ea0573a8
"Theo luật định, mức phạt tiền khi điều khiển xe máy bằng chân là bao nhiêu?",Legal,ea0573a8
Nghị định nào quy định phạt tiền điều khiển xe máy bằng chân?,Legal,ea0573a8
Điểm a khoản 8 Điều 1 của Nghị định số 46/2016/NĐ-CP xử phạt điều khiển xe máy bằng chân bao nhiêu?,Legal,ea0573a8
Mức phạt tiền vì sử dụng chân điều khiển xe máy hiện hành là bao nhiêu?,Legal,ea0573a8
Quy định về thời gian tạm trú để đủ điều kiện bầu cử đại biểu HĐND cấp huyện là bao nhiêu ?,Legal,60abfc6f
Người đã tạm trú tại một nơi trong 02 tháng có được góp phần vào hoạt động bầu cử đại biểu HĐND cấp huyện không?,Legal,60abfc6f
"Nếu một người muốn được bầu cử đại biểu HĐND cấp huyện, họ cần đáp ứng những yêu cầu gì về thời gian tạm trú?",Legal,60abfc6f
"Ngoài thời gian tạm trú, còn có những điều kiện nào khác để đủ điều kiện bầu cử đại biểu HĐND cấp huyện?",Legal,60abfc6f
Hướng dẫn cụ thể về việc đủ điều kiện bầu cử đại biểu HĐND cấp huyện cho người tạm trú?,Legal,60abfc6f
Người nào có quyền lập trình báo đường thủy nội địa bổ sung?,Legal,47981fea
Điều kiện để lập trình báo đường thủy nội địa bổ sung?,Legal,47981fea
Công tác xác nhận trình báo đường thủy nội địa bổ sung như thế nào?,Legal,47981fea
Thủ tục xác nhận trình báo đường thủy nội địa bổ sung có giống với thủ tục nào?,Legal,47981fea
Sự khác biệt giữa trình báo đường thủy nội địa và đường thủy nội địa bổ sung?,Legal,47981fea
việc quản lý sinh vật gây hại thuộc nhóm II và đối tượng phải kiểm soát được thực hiện như thế nào?,Legal,e8d4943e
chương trình điều tra được thực hiện để mục đích gì trong quản lý sinh vật gây hại?,Legal,e8d4943e
"khi phát hiện sinh vật gây hại thuộc nhóm II, Việt Nam cần áp dụng biện pháp gì?",Legal,e8d4943e
các đối tượng phải báo cáo ngay về cơ quan nào khi phát hiện sinh vật gây hại thuộc nhóm II?,Legal,e8d4943e
ai là người chịu trách nhiệm về việc quản lý sinh vật gây hại thuộc nhóm II và đối tượng phải kiểm soát? ,Legal,e8d4943e
Người đang làm việc tại một bệnh viện thuộc thẩm quyền Sở Y tế cần nộp hồ sơ xin cấp chứng chỉ hành nghề điều dưỡng ở đâu?,Legal,58ae8593
Quy định nộp hồ sơ xin cấp chứng chỉ hành nghề điều dưỡng cho nhân viên đang công tác tại bệnh viện do Bộ Y tế quản lý là gì?,Legal,58ae8593
"Trong trường hợp không làm việc tại bệnh viện, hồ sơ xin cấp chứng chỉ hành nghề điều dưỡng được gửi về địa điểm nào?",Legal,58ae8593
"Sở Y tế có quyền quản lý những cơ sở khám bệnh, chữa bệnh nào?",Legal,58ae8593
"Ngoài việc nộp hồ sơ về Sở Y tế nơi đăng ký thường trú, có điều kiện cần bổ sung nào để được cấp, cấp lại chứng chỉ hành nghề?",Legal,58ae8593
"Nếu lái xe muốn thanh toán phí sử dụng đường bộ hàng tháng, khoản phí sẽ được trừ như thế nào?",Legal,81435f33
"Đối với phương tiện đã đăng ký thanh toán phí hàng tháng, có trường hợp bị trừ tiền khi đi qua trạm thu phí không?",Legal,81435f33
Có nên duy trì số dư tài khoản đủ để đi qua các trạm thu phí điện tử không dừng khác?,Legal,81435f33
Mọi phương tiện đều có thể đăng ký thanh toán phí sử dụng đường bộ theo tháng?,Legal,81435f33
Khi nào được trừ tiền khỏi tài khoản của chủ phương tiện?,Legal,81435f33
Vai trò của đại diện cộng đồng dân cư trong Hội đồng trường nhà trẻ?,Legal,852cbe24
"Hội đồng trường của nhà trẻ, trường mẫu giáo, trường mầm non dân lập bao gồm ai?",Legal,852cbe24
"Theo quy định, ai có quyền tham gia Hội đồng trường của nhà trẻ?",Legal,852cbe24
Chính quyền địa phương cấp xã có vai trò gì trong Hội đồng trường của nhà trẻ?,Legal,852cbe24
"Ngoài đại diện chính quyền và cộng đồng, thành viên nào khác tham gia Hội đồng trường?",Legal,852cbe24
